molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
CHEMBL426601,CCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,525.8630000000003,8.094600000000005,1.0,3.0,-0.041216425245803566,8.221848749616356
CHEMBL361785,O=C(NC1CCCC1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,551.9010000000004,8.627200000000002,1.0,3.0,-0.04115883682528604,7.7447274948966935
CHEMBL180028,O=C(NN1CCCCC1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,566.9160000000004,8.085500000000005,1.0,4.0,-0.041048459019294097,7.3872161432802645
CHEMBL359865,COC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,498.7930000000002,7.741400000000006,0.0,4.0,-0.04122842283341139,8.455931955649724
CHEMBL179901,COC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,534.7730000000003,8.019600000000006,0.0,4.0,-0.04123898071050627,8.886056647693163
CHEMBL425870,CCCCOc1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1C(=O)OC,active,464.77600000000024,7.341300000000006,0.0,4.0,-0.041236101289480395,8.721246399047171
CHEMBL360783,COC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCC1CCCCC1,active,504.84100000000035,8.121500000000005,0.0,4.0,-0.04123130225443727,8.537602002101044
CHEMBL181875,CNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,533.7890000000003,7.5926000000000045,1.0,3.0,-0.04123034244742864,8.508638306165727
CHEMBL360104,CCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,547.8160000000003,7.982700000000006,1.0,3.0,-0.041236101289480395,8.721246399047171
CHEMBL425163,CCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,561.8430000000003,8.372800000000003,1.0,3.0,-0.04123706109648902,8.769551078621726
CHEMBL362192,O=C(NCCF)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,565.8060000000004,7.932300000000006,1.0,3.0,-0.041238020903497645,8.823908740944319
CHEMBL361020,CC(C)NC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,561.8430000000003,8.371200000000004,1.0,3.0,-0.041236581192984706,8.744727494896694
CHEMBL181164,CCCCOc1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1C(N)=O,active,449.7650000000002,6.653600000000004,1.0,3.0,-0.04109165033468225,7.494850021680094
CHEMBL182948,CCCCOc1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1C(=O)NC,active,463.7920000000002,6.914300000000005,1.0,3.0,-0.041163635860329166,7.769551078621726
CHEMBL180861,CCCCOc1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1C(=O)NCCC,active,491.8460000000003,7.694500000000006,1.0,3.0,-0.041144439720156654,7.6777807052660805
CHEMBL360723,CNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCC1CCCCC1,active,503.8570000000004,7.694500000000005,1.0,3.0,-0.0412289027369157,8.468521082957745
CHEMBL180394,CCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCC1CCCCC1,active,531.9110000000002,8.474700000000002,1.0,3.0,-0.041220264473838066,8.2839966563652
CHEMBL180077,CN(C)C(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1Cl,active,440.15700000000004,6.731000000000003,0.0,2.0,-0.0350064738999963,5.886056647693163
CHEMBL359500,CCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1Cl,active,454.1840000000001,7.169000000000003,1.0,2.0,-0.0409956696338197,7.2839966563652006
CHEMBL178243,CCCCCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1Cl,active,496.2650000000001,8.339300000000003,1.0,2.0,-0.04096687542356093,7.236572006437063
CHEMBL361003,O=C(NN1CCCCC1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1Cl,active,495.2370000000002,7.159900000000004,1.0,3.0,-0.03932560543881125,6.3979400086720375
CHEMBL180154,O=C(c1cnc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1)N1CCCCC1,active,445.7770000000002,7.0019000000000045,0.0,2.0,-0.039037663336223584,6.337242168318426
CHEMBL360711,CCCCCCNC(=O)c1cnc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1,active,461.82000000000016,7.6859000000000055,1.0,2.0,-0.040933282178259034,7.187086643357144
CHEMBL362650,O=C(NC1CCCCC1)c1cnc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1,active,459.8040000000002,7.438300000000005,1.0,2.0,-0.04023742209700552,6.6777807052660805
CHEMBL182241,O=C(NN1CCCCC1)c1cnc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1,active,460.79200000000014,6.506500000000005,1.0,3.0,-0.03894168263536103,6.318758762624412
CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,463.79600000000016,5.938620000000005,1.0,4.0,-0.04121546543879494,8.207608310501746
CHEMBL181088,N#Cc1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)nc1OCc1ccccc1,active,396.8770000000001,6.519680000000005,0.0,3.0,-0.027807921335304728,5.552841968657781
CHEMBL181088,N#Cc1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)nc1OCc1ccccc1,active,396.8770000000001,6.519680000000005,0.0,3.0,-0.04092368410817278,7.173925197299173
CHEMBL361119,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,465.7670000000002,7.8264800000000045,0.0,3.0,-0.04119243007058793,7.958607314841775
CHEMBL425527,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)cc1,active,483.75700000000023,7.9655800000000045,0.0,3.0,-0.04123034244742864,8.508638306165727
CHEMBL175247,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,active,495.7450000000004,6.881900000000007,1.0,5.0,-0.040765315951749564,7.0
